2021-07-11 15:35:06.234 GMT [5680] СООБЩЕНИЕ:  не удалось открыть файл "postmaster.pid": No such file or directory
2021-07-11 15:35:06.236 GMT [5680] СООБЩЕНИЕ:  немедленное отключение из-за ошибочного файла блокировки каталога данных
2021-07-11 15:35:06.236 GMT [5680] СООБЩЕНИЕ:  получен запрос на немедленное выключение
2021-07-11 15:35:06.236 GMT [5680] СООБЩЕНИЕ:  не удалось открыть файл "postmaster.pid": No such file or directory
2021-07-11 15:35:06.286 GMT [5112] РџР Р•Р”РЈРџР Р•Р–Р”Р•РќРР•:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РёР·-Р·Р° РєСЂР°С…Р° РґСЂСѓРіРѕРіРѕ СЃРµСЂРІРµСЂРЅРѕРіРѕ РїСЂРѕС†РµСЃСЃР°
2021-07-11 15:35:06.286 GMT [5112] РџРћР”Р РћР‘РќРћРЎРўР:  РЈРїСЂР°РІР»СЏСЋС‰РёР№ РїСЂРѕС†РµСЃСЃ РѕС‚РґР°Р» РєРѕРјР°РЅРґСѓ СЌС‚РѕРјСѓ СЃРµСЂРІРµСЂРЅРѕРјСѓ РїСЂРѕС†РµСЃСЃСѓ РѕС‚РєР°С‚РёС‚СЊ С‚РµРєСѓС‰СѓСЋ С‚СЂР°РЅР·Р°РєС†РёСЋ Рё Р·Р°РІРµСЂС€РёС‚СЊСЃСЏ, С‚Р°Рє РєР°Рє РґСЂСѓРіРѕР№ СЃРµСЂРІРµСЂРЅС‹Р№ РїСЂРѕС†РµСЃСЃ Р·Р°РІРµСЂС€РёР»СЃСЏ Р°РІР°СЂРёР№РЅРѕ Рё РІРѕР·РјРѕР¶РЅРѕ СЂР°Р·СЂСѓС€РёР» СЂР°Р·РґРµР»СЏРµРјСѓСЋ РїР°РјСЏС‚СЊ.
2021-07-11 15:35:06.286 GMT [5112] РџРћР”РЎРљРђР—РљРђ:  Р’С‹ СЃРјРѕР¶РµС‚Рµ РїРµСЂРµРїРѕРґРєР»СЋС‡РёС‚СЊСЃСЏ Рє Р±Р°Р·Рµ РґР°РЅРЅС‹С… Рё РїРѕРІС‚РѕСЂРёС‚СЊ РІР°С€Сѓ РєРѕРјР°РЅРґСѓ СЃРёСЋ РјРёРЅСѓС‚Сѓ.
2021-07-11 15:35:06.287 GMT [13444] РџР Р•Р”РЈРџР Р•Р–Р”Р•РќРР•:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РёР·-Р·Р° РєСЂР°С…Р° РґСЂСѓРіРѕРіРѕ СЃРµСЂРІРµСЂРЅРѕРіРѕ РїСЂРѕС†РµСЃСЃР°
2021-07-11 15:35:06.287 GMT [13444] РџРћР”Р РћР‘РќРћРЎРўР:  РЈРїСЂР°РІР»СЏСЋС‰РёР№ РїСЂРѕС†РµСЃСЃ РѕС‚РґР°Р» РєРѕРјР°РЅРґСѓ СЌС‚РѕРјСѓ СЃРµСЂРІРµСЂРЅРѕРјСѓ РїСЂРѕС†РµСЃСЃСѓ РѕС‚РєР°С‚РёС‚СЊ С‚РµРєСѓС‰СѓСЋ С‚СЂР°РЅР·Р°РєС†РёСЋ Рё Р·Р°РІРµСЂС€РёС‚СЊСЃСЏ, С‚Р°Рє РєР°Рє РґСЂСѓРіРѕР№ СЃРµСЂРІРµСЂРЅС‹Р№ РїСЂРѕС†РµСЃСЃ Р·Р°РІРµСЂС€РёР»СЃСЏ Р°РІР°СЂРёР№РЅРѕ Рё РІРѕР·РјРѕР¶РЅРѕ СЂР°Р·СЂСѓС€РёР» СЂР°Р·РґРµР»СЏРµРјСѓСЋ РїР°РјСЏС‚СЊ.
2021-07-11 15:35:06.287 GMT [13444] РџРћР”РЎРљРђР—РљРђ:  Р’С‹ СЃРјРѕР¶РµС‚Рµ РїРµСЂРµРїРѕРґРєР»СЋС‡РёС‚СЊСЃСЏ Рє Р±Р°Р·Рµ РґР°РЅРЅС‹С… Рё РїРѕРІС‚РѕСЂРёС‚СЊ РІР°С€Сѓ РєРѕРјР°РЅРґСѓ СЃРёСЋ РјРёРЅСѓС‚Сѓ.
2021-07-11 15:35:06.288 GMT [11344] РџР Р•Р”РЈРџР Р•Р–Р”Р•РќРР•:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РёР·-Р·Р° РєСЂР°С…Р° РґСЂСѓРіРѕРіРѕ СЃРµСЂРІРµСЂРЅРѕРіРѕ РїСЂРѕС†РµСЃСЃР°
2021-07-11 15:35:06.288 GMT [11344] РџРћР”Р РћР‘РќРћРЎРўР:  РЈРїСЂР°РІР»СЏСЋС‰РёР№ РїСЂРѕС†РµСЃСЃ РѕС‚РґР°Р» РєРѕРјР°РЅРґСѓ СЌС‚РѕРјСѓ СЃРµСЂРІРµСЂРЅРѕРјСѓ РїСЂРѕС†РµСЃСЃСѓ РѕС‚РєР°С‚РёС‚СЊ С‚РµРєСѓС‰СѓСЋ С‚СЂР°РЅР·Р°РєС†РёСЋ Рё Р·Р°РІРµСЂС€РёС‚СЊСЃСЏ, С‚Р°Рє РєР°Рє РґСЂСѓРіРѕР№ СЃРµСЂРІРµСЂРЅС‹Р№ РїСЂРѕС†РµСЃСЃ Р·Р°РІРµСЂС€РёР»СЃСЏ Р°РІР°СЂРёР№РЅРѕ Рё РІРѕР·РјРѕР¶РЅРѕ СЂР°Р·СЂСѓС€РёР» СЂР°Р·РґРµР»СЏРµРјСѓСЋ РїР°РјСЏС‚СЊ.
2021-07-11 15:35:06.288 GMT [11344] РџРћР”РЎРљРђР—РљРђ:  Р’С‹ СЃРјРѕР¶РµС‚Рµ РїРµСЂРµРїРѕРґРєР»СЋС‡РёС‚СЊСЃСЏ Рє Р±Р°Р·Рµ РґР°РЅРЅС‹С… Рё РїРѕРІС‚РѕСЂРёС‚СЊ РІР°С€Сѓ РєРѕРјР°РЅРґСѓ СЃРёСЋ РјРёРЅСѓС‚Сѓ.
2021-07-11 15:35:06.292 GMT [1964] ПРЕДУПРЕЖДЕНИЕ:  закрытие подключения из-за краха другого серверного процесса
2021-07-11 15:35:06.292 GMT [1964] ПОДРОБНОСТИ:  Управляющий процесс отдал команду этому серверному процессу откатить текущую транзакцию и завершиться, так как другой серверный процесс завершился аварийно и возможно разрушил разделяемую память.
2021-07-11 15:35:06.292 GMT [1964] ПОДСКАЗКА:  Вы сможете переподключиться к базе данных и повторить вашу команду сию минуту.
2021-07-11 15:35:06.295 GMT [7384] ПРЕДУПРЕЖДЕНИЕ:  закрытие подключения из-за краха другого серверного процесса
2021-07-11 15:35:06.295 GMT [7384] ПОДРОБНОСТИ:  Управляющий процесс отдал команду этому серверному процессу откатить текущую транзакцию и завершиться, так как другой серверный процесс завершился аварийно и возможно разрушил разделяемую память.
2021-07-11 15:35:06.295 GMT [7384] ПОДСКАЗКА:  Вы сможете переподключиться к базе данных и повторить вашу команду сию минуту.
2021-07-11 15:35:06.324 GMT [5680] СООБЩЕНИЕ:  система БД выключена
